Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,label
10.0.2.15,57461,24.36.174.173,47044,6,44938,0,66.7586452446,22469,31409.6832203064,44679,259,0,0,0,0,44679,0,44679,44679,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,51716,108.237.134.2,443,6,3002774,0,0.9990761876,1501387,709519.429523956,2003093,999681,1501387,709519.429523956,2003093,999681,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,60362,99.242.236.70,38938,6,1001604,0,1.9967971374,1001604,0,1001604,1001604,1001604,0,1001604,1001604,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,39805,108.237.134.2,7124,6,3001276,0,0.9995748475,1500638,712178.151021217,2004224,997052,1500638,712178.151021217,2004224,997052,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,56936,24.140.134.21,45411,6,3071299,0,1.3023805237,1023766.33333333,1036475.78079101,2072546,49,1535649.5,759355.608355203,2072595,998704,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,56953,24.140.134.21,45411,6,3062662,0,1.3060533614,1020887.33333333,1032729.29180949,2065102,40,1531331,754922.755943944,2065142,997520,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,39807,108.237.134.2,7124,6,3003430,0,0.9988579724,1501715,713656.004193897,2006346,997084,1501715,713656.004193897,2006346,997084,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,35273,67.71.163.47,30582,6,51735,0,57.9878225573,25867.5,36114.0646355405,51404,331,0,0,0,0,51404,0,51404,51404,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,38166,206.75.168.220,55632,6,101915,0,29.4362949517,50957.5,71480.7174033669,101502,413,0,0,0,0,101502,0,101502,101502,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,54955,204.83.155.169,32620,6,49999,0,60.001200024,24999.5,35032.1912603251,49771,228,0,0,0,0,49771,0,49771,49771,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,50197,67.70.26.33,60854,6,55546,0,54.0092895978,27773,39063.4070198696,55395,151,0,0,0,0,55395,0,55395,55395,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,45746,24.140.134.21,45411,6,69804,0,42.9774798006,34902,48872.3922884894,69460,344,0,0,0,0,69460,0,69460,69460,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,35289,67.71.163.47,30582,6,52145,0,57.5318822514,26072.5,36507.2160058803,51887,258,0,0,0,0,51887,0,51887,51887,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,48319,69.51.239.202,44824,6,94497,0,31.7470395886,47248.5,66489.9577417523,94264,233,0,0,0,0,94264,0,94264,94264,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,54963,204.83.155.169,32620,6,50797,0,59.0586058232,25398.5,35583.7345496506,50560,237,0,0,0,0,50560,0,50560,50560,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,42255,70.80.25.101,64982,6,52082,0,57.6014745977,26041,36588.5332857167,51913,169,0,0,0,0,51913,0,51913,51913,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,55027,24.36.174.173,47044,6,47064,0,63.7429882713,23532,32826.7252098043,46744,320,0,0,0,0,46744,0,46744,46744,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,35301,67.71.163.47,30582,6,53618,0,55.951359618,26809,37519.0858097582,53339,279,0,0,0,0,53339,0,53339,53339,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,54967,204.83.155.169,32620,6,54331,0,55.2170952127,27165.5,37986.4833921225,54026,305,0,0,0,0,54026,0,54026,54026,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,50210,67.70.26.33,60854,6,3000668,0,0.9997773829,1500334,711752.472738943,2003619,997049,1500334,711752.472738943,2003619,997049,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,48265,24.201.235.89,40085,6,496,0,4032.2580645161,496,0,496,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,50209,67.70.26.33,60854,6,3002409,0,0.9991976443,1501204.5,706769.491251922,2000966,1001443,1501204.5,706769.491251922,2000966,1001443,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,43459,67.70.26.33,443,6,3002148,0,0.9992845123,1501074,712134.310400784,2004629,997519,1501074,712134.310400784,2004629,997519,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.0.2.15,52875,173.194.78.16,993,6,38594,0,51.8215266622,38594,0,38594,38594,38594,0,38594,38594,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,55665,173.252.79.90,443,6,80731,0,37.1604464208,40365.5,57062.8101349732,80715,16,80731,0,80731,80731,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,40944,173.252.79.90,3478,6,80476,0,37.2781947413,40238,56876.8410515211,80456,20,80476,0,80476,80476,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,47119,173.252.79.90,443,6,80530,0,37.2531975661,40265,56923.5100990794,80516,14,80530,0,80530,80530,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,60625,173.252.79.90,3478,6,80856,0,37.1029979222,40428,57142.7132012473,80834,22,80856,0,80856,80856,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,57629,173.252.79.90,443,6,80897,0,37.0841934806,40448.5,57180.1898606502,80881,16,80897,0,80897,80897,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,50040,173.252.79.90,3478,6,80420,0,37.3041531957,40210,56847.1425667113,80407,13,80420,0,80420,80420,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,36182,173.252.79.90,443,6,80497,0,37.2684696324,40248.5,56901.5897888627,80484,13,80497,0,80497,80497,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,53280,173.252.79.90,3478,6,80420,0,24.8694354638,80420,0,80420,80420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,35694,173.252.79.90,3478,6,80520,0,24.8385494287,80520,0,80520,80520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,52712,173.252.79.90,443,6,80468,0,24.8546005866,80468,0,80468,80468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,39742,173.252.79.90,3478,6,80407,0,24.8734562911,80407,0,80407,80407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,47136,173.252.79.90,3478,6,80395,0,24.8771689782,80395,0,80395,80395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,55665,173.252.79.90,443,6,80441,0,24.8629430266,80441,0,80441,80441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,36678,173.252.79.90,443,6,80414,0,24.8712910687,80414,0,80414,80414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,51761,173.252.79.90,443,6,80389,0,24.8790257374,80389,0,80389,80389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34676,173.252.79.90,3478,6,80337,0,24.895129268,80337,0,80337,80337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,38897,173.252.79.90,443,6,80377,0,24.8827400873,80377,0,80377,80377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34332,173.252.79.90,443,6,80736,0,24.7720967103,80736,0,80736,80736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,46976,173.252.79.90,443,6,80373,0,24.8839784505,80373,0,80373,80373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,56536,173.252.79.90,3478,6,80411,0,24.872218975,80411,0,80411,80411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,47119,173.252.79.90,443,6,80483,0,24.8499683163,80483,0,80483,80483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,40944,173.252.79.90,3478,6,80556,0,24.8274492279,80556,0,80556,80556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,57629,173.252.79.90,443,6,80637,0,24.802510014,80637,0,80637,80637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,60625,173.252.79.90,3478,6,80677,0,24.790212824,80677,0,80677,80677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,50051,173.252.79.90,3478,6,80585,0,24.8185146119,80585,0,80585,80585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,56458,173.252.79.90,443,6,80574,0,24.8219028471,80574,0,80574,80574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,42683,173.252.79.90,3478,6,80548,0,24.8299150817,80548,0,80548,80548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,36182,173.252.79.90,443,6,80471,0,24.8536739944,80471,0,80471,80471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,50040,173.252.79.90,3478,6,80520,0,24.8385494287,80520,0,80520,80520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,58950,173.252.79.90,443,6,80586,0,24.8182066364,80586,0,80586,80586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,46393,173.252.79.90,3478,6,89372,0,22.3783735398,89372,0,89372,89372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,39587,173.252.79.90,3478,6,80433,0,24.8654159362,80433,0,80433,80433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,58667,173.252.79.90,3478,6,80615,0,24.8092786702,80615,0,80615,80615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,45031,173.252.79.90,443,6,80456,0,24.8583076464,80456,0,80456,80456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,37740,173.252.79.90,443,6,80649,0,24.7988195762,80649,0,80649,80649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,48050,173.252.79.90,3478,6,80375,0,24.8833592535,80375,0,80375,80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,41626,173.252.79.90,443,6,80391,0,24.8784067868,80391,0,80391,80391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,60410,173.252.79.90,3478,6,80423,0,24.8685077652,80423,0,80423,80423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,46101,173.252.79.90,443,6,80592,0,24.8163589438,80592,0,80592,80592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,57436,173.252.79.90,3478,6,80677,0,24.790212824,80677,0,80677,80677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,36036,173.252.79.90,443,6,80598,0,24.8145115263,80598,0,80598,80598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,60243,173.252.79.90,443,6,80524,0,24.8373155829,80524,0,80524,80524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,36651,173.252.79.90,3478,6,80602,0,24.8132800675,80602,0,80602,80602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,33815,173.252.79.90,3478,6,80554,0,24.8280656454,80554,0,80554,80554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34693,173.252.79.90,443,6,80599,0,24.8142036502,80599,0,80599,80599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22093,0,90.5264110804,22093,0,22093,22093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,42112,173.252.79.94,443,6,80822,0,37.1186063201,40411,57128.5710656236,80807,15,80822,0,80822,80822,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,54078,173.252.79.94,3478,6,80808,0,37.125037125,40404,57117.2573571246,80792,16,80808,0,80808,80808,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,33969,173.252.79.94,443,6,80817,0,37.1209027804,40408.5,57129.2781724047,80805,12,80817,0,80817,80817,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,56147,173.252.79.94,3478,6,80864,0,37.0993272655,40432,57155.4411233086,80847,17,80864,0,80864,80864,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,46612,173.252.79.94,443,6,80875,0,37.0942812983,40437.5,57166.0477250264,80860,15,80875,0,80875,80875,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,52242,173.252.79.94,3478,6,80944,0,37.0626606049,40472,57209.1812386788,80925,19,80944,0,80944,80944,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,43272,173.252.79.94,443,6,80955,0,37.0576246063,40477.5,57224.0304810837,80941,14,80955,0,80955,80955,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22386,0,89.3415527562,22386,0,22386,22386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,21865,0,91.4703864624,21865,0,21865,21865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22499,0,88.8928396818,22499,0,22499,22499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22379,0,89.3694981903,22379,0,22379,22379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,21991,0,90.9462962121,21991,0,21991,21991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22061,0,90.6577217715,22061,0,22061,22061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22451,0,89.0828916307,22451,0,22451,22451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22373,0,89.3934653377,22373,0,22373,22373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22350,0,89.485458613,22350,0,22350,22350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49813,209.148.205.35,443,6,22297,0,89.6981656725,22297,0,22297,22297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,35637,173.252.79.94,443,6,80604,0,24.8126643839,80604,0,80604,80604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,43428,173.252.79.94,3478,6,80788,0,24.7561519037,80788,0,80788,80788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,46984,173.252.79.94,3478,6,80723,0,24.7760861217,80723,0,80723,80723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,42677,173.252.79.94,443,6,80755,0,24.7662683425,80755,0,80755,80755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,37035,173.252.79.94,3478,6,80754,0,24.7665750303,80754,0,80754,80754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,38319,173.252.79.94,3478,6,80763,0,24.7638151134,80763,0,80763,80763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,36511,173.252.79.94,3478,6,80743,0,24.7699490978,80743,0,80743,80743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,42112,173.252.79.94,443,6,80845,0,24.7386975076,80845,0,80845,80845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,53693,173.252.79.94,443,6,80843,0,24.7393095259,80843,0,80843,80843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,38446,173.252.79.94,443,6,80827,0,24.7442067626,80827,0,80827,80827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,57175,173.252.79.94,3478,6,80775,0,24.7601361807,80775,0,80775,80775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,53244,173.252.79.94,443,6,80827,0,24.7442067626,80827,0,80827,80827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,55129,173.252.79.94,443,6,80818,0,24.7469623104,80818,0,80818,80818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,59226,173.252.79.94,3478,6,80895,0,24.7234068855,80895,0,80895,80895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,54078,173.252.79.94,3478,6,80852,0,24.736555682,80852,0,80852,80852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,56147,173.252.79.94,3478,6,80811,0,24.7491059385,80811,0,80811,80811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,33969,173.252.79.94,443,6,80896,0,24.7231012658,80896,0,80896,80896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,46612,173.252.79.94,443,6,80851,0,24.7368616344,80851,0,80851,80851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,52167,173.252.79.94,3478,6,80830,0,24.743288383,80830,0,80830,80830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,33403,173.252.79.94,443,6,80842,0,24.7396155464,80842,0,80842,80842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,49432,173.252.79.94,443,6,80826,0,24.7445129043,80826,0,80826,80826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,47637,173.252.79.94,3478,6,80865,0,24.7325789897,80865,0,80865,80865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,52242,173.252.79.94,3478,6,80865,0,24.7325789897,80865,0,80865,80865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,43272,173.252.79.94,443,6,80880,0,24.727992087,80880,0,80880,80880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34823,74.125.226.5,80,6,25620,0,117.0960187354,12810,18049.6076965678,25573,47,25620,0,25620,25620,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34823,74.125.226.5,80,6,25494,0,78.4498313329,25494,0,25494,25494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,41939,74.125.226.22,80,6,25332,0,78.9515237644,25332,0,25332,25332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,42610,173.194.123.70,80,6,25327,0,78.9671101986,25327,0,25327,25327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,41939,74.125.226.22,80,6,26656,0,75.0300120048,26656,0,26656,26656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,42610,173.194.123.70,80,6,25710,0,77.7907429016,25710,0,25710,25710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,35773,173.252.110.27,443,6,8190,0,366.3003663004,4095,5741.7070632348,8155,35,8190,0,8190,8190,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,41939,74.125.226.22,80,6,25471,0,78.5206705665,25471,0,25471,25471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,53275,24.156.140.33,443,6,5691,0,527.1481286241,2845.5,3959.0908678635,5645,46,0,0,0,0,46,0,46,46,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,35769,173.252.110.27,443,6,12733,0,235.6082619964,6366.5,8961.1642379771,12703,30,12733,0,12733,12733,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,50813,209.148.205.10,443,6,8893,0,337.34397841,4446.5,6203.4477913496,8833,60,0,0,0,0,60,0,60,60,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,35774,173.252.110.27,443,6,3842,0,780.8433107756,1921,2655.8930701367,3799,43,0,0,0,0,43,0,43,43,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,35271,209.148.205.11,443,6,5118,0,586.1664712778,2559,3549.6760415565,5069,49,0,0,0,0,49,0,49,49,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34040,209.148.205.26,443,6,3505,0,855.9201141227,1752.5,2411.9412306273,3458,47,0,0,0,0,47,0,47,47,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,45373,91.189.89.22,443,6,283,0,7067.1378091873,283,0,283,283,283,0,283,283,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,42610,173.194.123.70,80,6,25515,0,78.3852635704,25515,0,25515,25515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,35770,173.252.110.27,443,6,4501,0,666.518551433,2250.5,1875.9542904879,3577,924,0,0,0,0,924,0,924,924,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34065,209.148.205.26,443,6,5717,0,524.7507433969,2858.5,3960.5050814259,5659,58,0,0,0,0,58,0,58,58,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,34049,209.148.205.26,443,6,5060,0,592.8853754941,2530,3515.7349160595,5016,44,0,0,0,0,44,0,44,44,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,47592,31.13.73.7,443,6,4605,0,651.4657980456,2302.5,3198.2439713068,4564,41,0,0,0,0,41,0,41,41,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,58514,91.189.89.88,80,6,4194848,0,0.7151629809,2097424,2783319.36896074,4065528,129320,4194848,0,4194848,4194848,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,58055,74.125.226.169,80,6,26032,0,76.8285187462,26032,0,26032,26032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,58055,74.125.226.169,80,6,25841,0,77.3963855888,25841,0,25841,25841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,55376,91.190.216.125,12350,6,2482753,0,1.2083360689,1241376.5,1500385.13026239,2302309,180444,0,0,0,0,2302309,0,2302309,2302309,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,44819,82.165.251.100,80,6,1235936,0,4.04551692,308984,498545.796593118,1044459,38,617968,603205.924972559,1044499,191437,1044497,0,1044497,1044497,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,44818,82.165.251.100,80,6,1641824,0,3.0453934161,410456,697982.322704522,1448472,18,820912,887557.60331823,1448510,193314,1448490,0,1448490,1448490,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,44815,82.165.251.100,80,6,1439461,0,3.4735223809,359865.25,597343.44773861,1245313,32,719730.5,743331.154479953,1245345,194116,1245354,0,1245354,1245354,0,0,0,0,0,0,0,0,nonTOR
10.8.0.10,44815,82.165.251.100,80,6,173717,0,11.5129780045,173717,0,173717,173717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonTOR
